NameTH	NameEN	LastNameTH	LastNameEN	DepartmentTH	doc_count	cited_by_count
โอภาส 	Opas 	โตจิระ	Tojira	คณะวิทยาศาสตร์และเทคโนโลยี	0	0
ชลธิชา 	Cholticha 	บำรุงรักษ์	Bamroongraks	คณะศิลปศาสตร์	2	0
ภาณุพงศ์ 	Bhanupong 	นิธิประภา	Nidhiprabha	คณะเศรษฐศาสตร์	0	0
วิจิตรา 	Wichitra 	วิเชียรชม	Vichienchom	คณะนิติศาสตร์	3	0
ชัยวัฒน์ 	Chaiwat 	สถาอานันท์	Satha-anand	คณะรัฐศาสตร์	13	5
สรรค์ใจ 	Sunjai 	กลิ่นดาว	Klindao	คณะศิลปศาสตร์	1	0
บุญศรี 	Boonsri 	มีวงศ์อุโฆษ	Mewongukote	คณะนิติศาสตร์	4	0
วิริยะ 	Wiriya 	นามศิริพงศ์พันธุ์	Namsiripongpun	คณะนิติศาสตร์	6	1
ปัญจราศี 	Panjarasee 	ปุณณชัยยะ	Punnachaiya	คณะพาณิชยศาสตร์และการบัญชี	4	1
ไผทชิต 	Pathaichit 	เอกจริยกร	Eagjariyakorn	คณะนิติศาสตร์	12	5
สุรศักดิ์ 	Surasak 	ลิขสิทธิ์วัฒนกุล	Likasitwatanakul	คณะนิติศาสตร์	2	1
พันธุ์ทิพย์ 	Phunthip 	สายสุนทร	Saisoonthorn	คณะนิติศาสตร์	0	0
ศรีสมรัก 	Srisomruk 	อินทุจันทร์ยง	Intojunyong	คณะพาณิชยศาสตร์และการบัญชี	7	7
ศิริลักษณ์ 	Siriluck 	โรจนกิจอำนวย	Rotchanakitumnuai	คณะพาณิชยศาสตร์และการบัญชี	9	3
สมชาย 	Somchai 	ศุภธาดา	Supphatada	คณะพาณิชยศาสตร์และการบัญชี	20	1
ณรงค์ 	Narong 	ใจหาญ	Jaiharn	คณะนิติศาสตร์	13	6
อรพิน 	Orapin 	ผลสุวรรณ์ สบายรูป	Phonsuwan Sabyeroop	คณะนิติศาสตร์	1	0
สหธน 	Sahaton 	รัตนไพจิตร	Rattanapijit	คณะนิติศาสตร์	2	2
จุมพต 	Jumphot 	สายสุนทร	Saisoonthorn	คณะนิติศาสตร์	3	1
กิตติศักดิ์ 	Kittisak 	ปรกติ	Prokati	คณะนิติศาสตร์	14	0
สุพีชา 	Supeecha 	พาณิชย์ปฐม	Panichpathom	คณะพาณิชยศาสตร์และการบัญชี	1	0
สมคิด 	Somkit 	เลิศไพฑูรย์	Lertpaithoon	คณะนิติศาสตร์	18	27
กำชัย 	Kumchai 	จงจักรพันธ์	Jongjakapun	คณะนิติศาสตร์	11	6
สาวิตรี 	Sawitri 	แฮมมอนด์	Hammond	คณะศิลปศาสตร์	0	0
วรินทร 	Warintorn 	วูวงศ์	Wuwongse	คณะศิลปศาสตร์	10	1
ชื่นฤทัย 	Cheunruthai 	พรภัทรกุล	Pornpatrakul	คณะเศรษฐศาสตร์	0	0
วิภาดา 	Wipada 	ตันติประภา	Tantiprabha	คณะพาณิชยศาสตร์และการบัญชี	4	3
วิทยา 	Witaya 	ด่านธำรงกูล	Danthamrongkul	คณะพาณิชยศาสตร์และการบัญชี	8	3
เล็ก 	Lek 	สมบัติ	Sombat	คณะสังคมสงเคราะห์ศาสตร์	8	1
พรทิพย์ 	Pornthip 	สัมปัตตะวนิช	Sampattavanija	คณะวารสารศาสตร์และสื่อสารมวลชน	1	0
อรทัย 	Orathai 	ก๊กผล	Kokpol	คณะรัฐศาสตร์	1	0
เกษียร 	Kasian 	เตชะพีระ	Tejapira	คณะรัฐศาสตร์	16	5
อัมพร 	Amporn 	ธำรงลักษณ์	Tamronglak	คณะรัฐศาสตร์	8	2
ภรรดา 	Phanda 	ทามุระ	Tamura	คณะศิลปศาสตร์	1	0
วัชนีพร 	Watchaneeporn 	เศรษฐสักโก	Setthasakko	คณะพาณิชยศาสตร์และการบัญชี	4	1
นันทนา 	Nantana 	รณเกียรติ	Ronakiat	คณะศิลปศาสตร์	3	0
รุจนะ 	Rutchana 	เทียนศรี	Tainsri	คณะศิลปศาสตร์	0	0
อำนาจ 	Amnat 	วงศ์บัณฑิต	Wongbandit	คณะนิติศาสตร์	6	0
สุพานี 	Supanee 	สฤษฎ์วานิช	Saridvanich	คณะพาณิชยศาสตร์และการบัญชี	8	4
ภาวดี 	Pavadee 	สมภักดี	Sompagdee	ภาควิชาวิทยาการคอมพิวเตอร์ คณะวิทยาศาสตร์และเทคโนโลยี	3	0
กิติมา 	Kitima 	สุรสนธิ	Surasondhi	คณะวารสารศาสตร์และสื่อสารมวลชน	10	3
พรชนก 	Pornchanok 	รัตนไพจิตร	Rattanapijit	คณะพาณิชยศาสตร์และการบัญชี	2	0
สุพิชญ์ชญา 	Supitchchayaa 	เหล่าธรรมทัศน์	Laothammathat	คณะพาณิชยศาสตร์และการบัญชี	1	0
สุรพล 	Surapone 	ปธานวนิช	Ptanawanit	คณะสังคมสงเคราะห์ศาสตร์	3	0
สุรพล 	Surapon 	นิติไกรพจน์	Nitikraipot	คณะนิติศาสตร์	3	0
กิตติยา 	Kittiya 	นรามาศ	Naramas	คณะสังคมสงเคราะห์ศาสตร์	0	0
ปัทมา 	Pattama 	สุวรรณภักดี	Suwunpukdee	คณะวารสารศาสตร์และสื่อสารมวลชน	2	0
สายพิณ 	Saipin 	ชินตระกูลชัย	Cintakulchai	คณะเศรษฐศาสตร์	3	1
เก็จวลี 	Ketvalee 	ปอแก้ว	Porkaew	สถาบันภาษา	0	0
กมล 	Kamon 	บุษบา	Budsaba	ภาควิชาคณิตศาสตร์และสถิติ คณะวิทยาศาสตร์และเทคโนโลยี	18	8
ปกรณ์ 	Pakorn 	เสริมสุข	Sermsuk	ภาควิชาวิทยาการคอมพิวเตอร์ คณะวิทยาศาสตร์และเทคโนโลยี	0	0
ธเนศ 	Thanes 	วงศ์ยานนาวา	Wongyannava	คณะรัฐศาสตร์	20	1
สมเกียรติ 	Somkiat 	วรปัญญาอนันต์	Worapunyaanun	คณะนิติศาสตร์	1	0
ธัญมณัสธนัญญ์ 	Thanmanustanan 	พาณิภัค	Phaniphuk	คณะพาณิชยศาสตร์และการบัญชี	1	0
เจียรนัย 	Jearanai 	ศิริสวัสดิ์	Sirisawasdi	คณะศิลปศาสตร์	2	0
อัญญา 	Anya 	ขันธวิทย์	Khanthavit	คณะพาณิชยศาสตร์และการบัญชี	18	6
ภรณี 	Poranee 	อุทโยภาศ	Utayopas	ภาควิชาเทคโนโลยีชีวภาพ คณะวิทยาศาสตร์และเทคโนโลยี	3	0
อุดม 	Udom 	รัฐอมฤต	Rathamarit	คณะนิติศาสตร์	7	5
แอนนา 	Anna 	จุมพลเสถียร	Choompolsathien	คณะวารสารศาสตร์และสื่อสารมวลชน	3	0
ชยันต์ 	Chayun 	ตันติวัสดาการ	Tantivasadakarn	คณะเศรษฐศาสตร์	0	0
พิชิต 	Pichit 	ลิขิตกิจสมบูรณ์	Likitkijsomboon	คณะเศรษฐศาสตร์	2	0
แก้วกาญจน์ 	Kaewkarn 	จูเจริญ	Chucharoen	คณะวารสารศาสตร์และสื่อสารมวลชน	0	0
กฤษฎารัตน์ 	Kritsadarat 	วัฒนสุวรรณ	Wattanasuwan	คณะพาณิชยศาสตร์และการบัญชี	3	0
พยุรี 	Payuree 	ชาญณรงค์	Channarong	คณะวารสารศาสตร์และสื่อสารมวลชน	0	0
นฤมล 	Narumol 	นิราทร	Nirathron	คณะสังคมสงเคราะห์ศาสตร์	4	0
สุรพงษ์ 	Surapongse 	โสธนะเสถียร	Sotanasathien	คณะวารสารศาสตร์และสื่อสารมวลชน	4	1
วิรังรอง 	Wirangrong 	บุญนุช	Boonnuch	คณะศิลปศาสตร์	0	0
ปกรณ์ 	Pakorn 	ลิมปนุสรณ์	Limpanusorn	คณะศิลปศาสตร์	3	0
จตุรนต์ 	Jaturon 	ถิระวัฒน์	Thirawat	คณะนิติศาสตร์	3	0
ศุภรัตน์ 	Supparat 	รัตนมุขย์	Rattanamuk	วิทยาลัยพัฒนศาสตร์ ป๋วย อึ๊งภากรณ์	6	0
พงษ์สวัสดิ์ 	Pongsvas 	สวัสดิวัตน์	Svasti	คณะพาณิชยศาสตร์และการบัญชี	2	0
พนิดา 	Phanida 	ซิมาภรณ์	Simaporn	คณะศิลปศาสตร์	1	0
เสมอชัย 	Samerchai 	พูลสุวรรณ	Poolsuwan	คณะสังคมวิทยาและมานุษยวิทยา	8	5
มนู 	Manu 	เฟื่องฟุ้ง	Fuangfoong	ภาควิชาฟิสิกส์ คณะวิทยาศาสตร์และเทคโนโลยี	9	1
เจียรนัย 	Jearranai 	เล็กอุทัย	Lek-uthai	ภาควิชาฟิสิกส์ คณะวิทยาศาสตร์และเทคโนโลยี	4	1
โสภารัตน์ 	Soparatana 	จารุสมบัติ	Jarusombat	คณะรัฐศาสตร์	3	1
ทวี 	Tawee 	ฉิมอ้อย	Chimoye	ภาควิชาฟิสิกส์ คณะวิทยาศาสตร์และเทคโนโลยี	4	0
สมชาย 	Somchai 	สุขสิริเสรีกุล	Suksiriserekul	คณะเศรษฐศาสตร์	7	0
