Unnamed: 0	id	name	year	researchers	department	research_area	research_type	tokenized_title
0	1	ความสัมพันธ์ระหว่างบรรษัทภิบาลและความรับผิดชอบของธุรกิจต่อสังคม กับผลกระทบที่มีต่อมูลค่าร่วมของกิจการ: กรณีประเทศไทย	2556	เสกศักดิ์ จำเริญวงศ์ 	คณะพาณิชยศาสตร์และการบัญชี		การวิจัยประยุกต์	['ความ', 'สัมพันธ์', 'ระหว่าง', 'บรรษัทภิบาล', 'และ', 'ความ', 'รับผิดชอบ', 'ของ', 'ธุรกิจ', 'ต่อ', 'สังคม', ' ', 'กับ', 'ผล', 'กระทบ', 'ที่', 'มี', 'ต่อ', 'มูลค่า', 'ร่วม', 'ของ', 'กิจการ', ':', ' ', 'กรณี', 'ประเทศไทย']
1	2	การปกป้องพื้นที่เกษตรกรรมจากการเก็งกำไรราคาที่ดินในเขตเมือง	2556	อารยะ ปรีชาเมตตา 	คณะเศรษฐศาสตร์		การวิจัยประยุกต์	['การ', 'ปกป้อง', 'พื้นที่', 'เกษตรกรรม', 'จาก', 'การ', 'เก็ง', 'กำไร', 'ราคา', 'ที่ดิน', 'ใน', 'เขต', 'เมือง']
2	3	การประยุกต์ใช้ถ่านกัมมันต์เคลือบไทเทเนียมไดออกไซด์กับกังหันน้ำสำหรับการบำบัดน้ำเสียจากอุตสาหกรรมสิ่งทอ	2556	สายัณห์ ผุดวัฒน์ 	คณะวิทยาศาสตร์และเทคโนโลยี		การพัฒนาทดลอง	['การ', 'ประยุกต์', 'ใช้', 'ถ่าน', 'กัมมันต์', 'เคลือบไทเทเนียมไดออกไซด์', 'กับ', 'กังหัน', 'น้ำ', 'สำหรับ', 'การ', 'บำบัด', 'น้ำ', 'เสีย', 'จาก', 'อุตสาหกรรม', 'สิ่ง', 'ทอ']
3	4	การประยุกต์ใช้กระบวนการโซล-เจล เพื่อพัฒนาผ้าปิดแผลที่มีคุณสมบัติควบคุมการปลดปล่อยยาปฏิชีวนะ	2556	เพ็ญวิสาข์ พิสิฏฐศักดิ์ 	คณะวิทยาศาสตร์และเทคโนโลยี		การพัฒนาทดลอง	['การ', 'ประยุกต์', 'ใช้', 'กระบวน', 'การ', 'โซล', '-', 'เจล', ' ', 'เพื่อ', 'พัฒนา', 'ผ้า', 'ปิด', 'แผล', 'ที่', 'มี', 'คุณสมบัติ', 'ควบคุม', 'การ', 'ปลดปล่อย', 'ยา', 'ปฏิชีวนะ']
4	5	ผลกระทบของเงื่อนไขการเคลือบฟิล์มต่อสมบัติทางโครงสร้างและทางแสงของกระจกปรับเปลี่ยนสภาพแสงได้ด้วยฟิล์ม Mg-Ni ที่เตรียมด้วยเทคนิคดีซี แมกนีตรอน สปัตเตอริง	2556	กมล เอี่ยมพนากิจ 	คณะวิทยาศาสตร์และเทคโนโลยี		การพัฒนาทดลอง	['ผล', 'กระทบ', 'ของ', 'เงื่อนไข', 'การ', 'เคลือบ', 'ฟิล์ม', 'ต่อสมบัติ', 'ทาง', 'โครงสร้าง', 'และ', 'ทาง', 'แสง', 'ของ', 'กระจก', 'ปรับเปลี่ยน', 'สภาพ', 'แสง', 'ได้', 'ด้วย', 'ฟิล์ม', ' ', 'Mg', '-', 'Ni', ' ', 'ที่', 'เตรียม', 'ด้วย', 'เทคนิค', 'ดี', 'ซี', ' ', 'แมกนีตรอน', ' ', 'สปัตเตอริง']
5	6	การสังเคราะห์และวัดการนำไฟฟ้าของโพลิเมอร์อิเล็กโทรไลต์จากโพลิเอทิลีนไกลคอล เมทาคริเลตและสารเติมแต่งสำหรับเซลล์สุริยะแบบสีย้อม	2556	พีระศักดิ์ เภาประเสริฐ 	คณะวิทยาศาสตร์และเทคโนโลยี		การพัฒนาทดลอง	['การ', 'สังเคราะห์', 'และ', 'วัดการ', 'นำ', 'ไฟฟ้า', 'ของ', 'โพลิเมอร์อิเล็กโทรไลต์', 'จาก', 'โพลิเอทิลีนไกล', 'คอล', ' ', 'เมทา', 'คริเลต', 'และ', 'สารเติม', 'แต่ง', 'สำหรับ', 'เซลล์', 'สุริยะ', 'แบบ', 'สี', 'ย้อม']
6	7	การพัฒนาแผ่นฟิล์มจากแป้งข้าวเสริมสารสกัดจากสมุนไพรช่วยให้ปากสดชื่น	2556	สุธีรา วัฒนกุล 	คณะวิทยาศาสตร์และเทคโนโลยี		การวิจัยประยุกต์	['การ', 'พัฒนา', 'แผ่น', 'ฟิล์ม', 'จาก', 'แป้ง', 'ข้าวเสริมสาร', 'สกัด', 'จาก', 'สมุนไพร', 'ช่วย', 'ให้', 'ปากสด', 'ชื่น']
7	8	ยางธรรมชาติอิพอกซิไดซ์และออร์กาโนเคลย์คอมโพสิต : คุณสมบัติและการประยุกต์ใช้	2556	สุวดี ก้องพารากุล 	คณะวิทยาศาสตร์และเทคโนโลยี		การวิจัยประยุกต์	['ยาง', 'ธรรมชาติ', 'อิพอกซิไดซ์', 'และ', 'ออร์กาโนเคลย์คอมโพสิต', ' ', ':', ' ', 'คุณสมบัติ', 'และ', 'การ', 'ประยุกต์', 'ใช้']
8	9	การให้ผลผลิตของดอกพระจันทร์ (Ipomoea alba) และการสะสมสารต้านอนุมูลอิสระ	2556	ภาณุมาศ ฤทธิไชย 	คณะวิทยาศาสตร์และเทคโนโลยี		การวิจัยประยุกต์	['การ', 'ให้', 'ผล', 'ผลิต', 'ของ', 'ดอก', 'พระจันทร์', ' ', '(', 'Ipomoea', ' ', 'alba', ')', ' ', 'และ', 'การ', 'สะสม', 'สาร', 'ต้าน', 'อนุมูล', 'อิสระ']
9	10	การบำบัดสี Reactive จากน้ำเสียโรงงานสิ่งทอด้วยราที่แยกได้จากประเทศไทย	2556	นิรมล ศากยวงศ์ 	คณะวิทยาศาสตร์และเทคโนโลยี		การวิจัยประยุกต์	['การ', 'บำบัด', 'สี', ' ', 'Reactive', ' ', 'จาก', 'น้ำ', 'เสีย', 'โรง', 'งาน', 'สิ่ง', 'ทอ', 'ด้วย', 'รา', 'ที่', 'แยก', 'ได้', 'จาก', 'ประเทศไทย']
10	11	การออกแบบและสร้างอุปกรณ์ขนาดพกพาสำหรับติดตามคุณภาพบางพารามิเตอร์ที่สำคัญในแหล่งน้ำธรรมชาติ	2556	นภาพร ยังวิเศษ 	คณะวิทยาศาสตร์และเทคโนโลยี		การวิจัยประยุกต์	['การ', 'ออก', 'แบบ', 'และ', 'สร้าง', 'อุปกรณ์', 'ขนาด', 'พก', 'พา', 'สำหรับ', 'ติดตาม', 'คุณภาพ', 'บาง', 'พารามิเตอร์', 'ที่', 'สำคัญ', 'ใน', 'แหล่ง', 'น้ำ', 'ธรรมชาติ']
11	12	การออกแบบและพัฒนาอุปกรณ์ช่วยเดินสำหรับเด็กพิการทางสมอง	2556	บรรยงค์ รุ่งเรืองด้วยบุญ 	คณะวิศวกรรมศาสตร์		การพัฒนาทดลอง	['การ', 'ออก', 'แบบ', 'และ', 'พัฒนา', 'อุปกรณ์', 'ช่วย', 'เดิน', 'สำหรับ', 'เด็ก', 'พิการ', 'ทาง', 'สมอง']
12	13	งานวิจัยและพัฒนาเครื่องอบแห้งยางแท่งเชิงพาณิชย์โดยใช้พลังงานไมโครเวฟร่วมกับลมร้อน และอินฟราเรด และระบบลำเลียงอย่างต่อเนื่อง (ทฤษฎีและการสร้างนวัตกรรม)	2556	ผดุงศักดิ์ รัตนเดโช 	คณะวิศวกรรมศาสตร์		การวิจัยประยุกต์	['งานวิจัยและ', 'พัฒนา', 'เครื่อง', 'อบ', 'แห้ง', 'ยาง', 'แท่ง', 'เชิง', 'พาณิชย์', 'โดย', 'ใช้', 'พลังงาน', 'ไมโครเวฟ', 'ร่วม', 'กับ', 'ลม', 'ร้อน', ' ', 'และ', 'อินฟราเรด', ' ', 'และ', 'ระบบ', 'ลำเลียง', 'อย่าง', 'ต่อเนื่อง', ' ', '(', 'ทฤษฎี', 'และ', 'การ', 'สร้าง', 'นวัตกรรม', ')']
13	14	การปรับปรุงสมบัติการรับแรงกระแทกของพอลิแลคติกแอซิดโดยใช้ยางธรรมชาติปรับสภาพ	2556	แคทลียา ปัทมพรหม 	คณะวิศวกรรมศาสตร์		การวิจัยประยุกต์	['การ', 'ปรับปรุง', 'สมบัติ', 'การ', 'รับ', 'แรง', 'กระแทก', 'ของ', 'พอลิแลคติก', 'แอซิด', 'โดย', 'ใช้', 'ยาง', 'ธรรมชาติ', 'ปรับ', 'สภาพ']
