	Unnamed: 0	Unnamed: 0.1	id	title	authors	publication	publish_date	publish_year	publish_month	type_id	doi	tokenized_title	year
0	0	0	1	Detecting thermophilic proteins through selecting amino acid and dipeptide composition features,	ผศ.ดร.ทรงยศ  นาคอริยกุล	Amino Acids Vol.42, pp.1947-1953  www.scopus.com	2012			1		['Detecting', ' ', 'thermophilic', ' ', 'proteins', ' ', 'through', ' ', 'selecting', ' ', 'amino', ' ', 'acid', ' ', 'and', ' ', 'dipeptide', ' ', 'composition', ' ', 'features', ',']	2555.0
1	1	1	2	Triply fuzzy function approximation for hierarchical Bayesian inference	รศ.ดร.สัญญา  มิตรเอม	Optimization and Decision Making, Volume 11,Number 3, Pages 241-268,  www.scopus.com	2012			1		['Triply', ' ', 'fuzzy', ' ', 'function', ' ', 'approximation', ' ', 'for', ' ', 'hierarchical Bayesian', ' ', 'inference']	2555.0
2	2	2	3	การประมวลผลสัญญาณแบบอาร์เรย์กับการพัฒนาประสิทธิภาพระบบการสื่อสารแบบไร้สาย	ดร.ศุภวัฒน์  สุภัควงศ์	ไฟฟ้าสาร  ปีที่ 19  ฉบับที่ 1  มกราคม-กุมภาพันธ์ 2555	2012			1		['การ', 'ประมวล', 'ผล', 'สัญญาณ', 'แบบ', 'อาร์เรย์', 'กับ', 'การ', 'พัฒนา', 'ประสิทธิภาพ', 'ระบบ', 'การ', 'สื่อสาร', 'แบบ', 'ไร้', 'สาย']	2555.0
3	3	3	4	Correction of Constant in Breakdown calculation in Air Gaps at Atmospheric Pressure	ดร.ณัฐพงศ์  ตัณฑนุช	The 10th International PSU Engineering Conference	พฤษภาคม 2012			1		['Correction', ' ', 'of', ' ', 'Constant', ' ', 'in', ' ', 'Breakdown', ' ', 'calculation', ' ', 'in', ' ', 'Air', ' ', 'Gaps', ' ', 'at', ' ', 'Atmospheric', ' ', 'Pressure']	2555.0
4	4	4	5	Lightning Impulse Breakdown Voltage of Nitrogen and Air under Rod-Plane Gap,	ดร.ณัฐพงศ์  ตัณฑนุช	 ECTI-CON , 2012	May-12			1		['Lightning', ' ', 'Impulse', ' ', 'Breakdown', ' ', 'Voltage', ' ', 'of', ' ', 'Nitrogen', ' ', 'and', ' ', 'Air', ' ', 'under', ' ', 'Rod', '-', 'Plane', ' ', 'Gap', ',']	9999.0
5	5	5	6	Optical Properties Improvement on AWG Achieved by Adding Transmission Star  Couplers into FPR1	ผศ.ดร.วีรชัย  อัศวเมธาพันธ์	NCOA-7	มีนาคม 2012			1		['Optical', ' ', 'Properties', ' ', 'Improvement', ' ', 'on', ' ', 'AWG', ' ', 'Achieved', ' ', 'by', ' ', 'Adding', ' ', 'Transmission', ' ', 'Star', ' ', ' ', 'Couplers', ' ', 'into', ' ', 'FPR1']	2555.0
6	6	6	7	Study of Effect of Parameter on Fusion Splicing Loss of SMF-28 and MP980 Fiber Optics	ผศ.ดร.วีรชัย  อัศวเมธาพันธ์	NCOA-7	มีนาคม 2012			1		['Study', ' ', 'of', ' ', 'Effect', ' ', 'of', ' ', 'Parameter', ' ', 'on', ' ', 'Fusion', ' ', 'Splicing', ' ', 'Loss', ' ', 'of', ' ', 'SMF', '-', '28', ' ', 'and', ' ', 'MP', '980', ' ', 'Fiber', ' ', 'Optics']	2555.0
7	7	7	8	Methodological Issues in Assessing Perceptual Representation of Consonant Sounds in Thai	ผศ.ดร.จาตุรงค์  ตันติบัณฑิต	Interspeech 2012	September 9-13,2012			1		['Methodological', ' ', 'Issues', ' ', 'in', ' ', 'Assessing', ' ', 'Perceptual', ' ', 'Representation', ' ', 'of', ' ', 'Consonant', ' ', 'Sounds', ' ', 'in', ' ', 'Thai']	2555.0
8	8	8	9	A Linked Data Model for E-books	ศ.ดร.วิลาศ  วูวงศ์	3rd IIAI International Conference on e-Services and Knowledge Management (IIAI ESKM,2012)	September 20-22,2012			1		['A', ' ', 'Linked', ' ', 'Data', ' ', 'Model', ' ', 'for', ' ', 'E', '-', 'books']	2555.0
9	9	9	10	Network management system for quantum key distribution	Techateerawat, Piya	Proceedings of the 9th International Conference on Information Technology, ITNG 2012, art. no. 6209068 , pp. 807-808  www.scopus.com	2012			1		['Network', ' ', 'management', ' ', 'system', ' ', 'for', ' ', 'quantum', ' ', 'key', ' ', 'distribution']	2555.0
10	10	10	11	Scheduling memory access on a distributed cloud storage network	Rojas-Cessa, R., Cai, L., Kijkanjanarat, T.	2012 21st Annual Wireless and Optical Communications Conference, WOCC 2012, art. no. 6198152 , pp. 71-76 www.scopus.com	2012			1		['Scheduling', ' ', 'memory', ' ', 'access', ' ', 'on', ' ', 'a', ' ', 'distributed', ' ', 'cloud', ' ', 'storage', ' ', 'network']	2555.0
11	11	11	12	Development composite customer damage function using the customer survey based method for power system reliability planning	Teansri, P., Bhasaputra, P., Pattaraprakorn, W.	Transactions on Electrical Engineering, Electronics, and Communications10 (1) , pp. 42-50   www.scopus.com	2012			1		['Development', ' ', 'composite', ' ', 'customer', ' ', 'damage', ' ', 'function', ' ', 'using', ' ', 'the', ' ', 'customer', ' ', 'survey', ' ', 'based', ' ', 'method', ' ', 'for', ' ', 'power', ' ', 'system', ' ', 'reliability', ' ', 'planning']	2555.0
12	12	12	13	Harmony search algorithm with various evolutionary elements for fuzzy aggregate production planning	Aungkulanon, P., Phruksaphanrat, B., Luangpaiboon, P.	Lecture Notes in Electrical Engineering110 LNEE , pp. 189-201   www.scopus.com	2012			1		['Harmony', ' ', 'search', ' ', 'algorithm', ' ', 'with', ' ', 'various', ' ', 'evolutionary', ' ', 'elements', ' ', 'for', ' ', 'fuzzy', ' ', 'aggregate', ' ', 'production', ' ', 'planning']	2555.0
13	13	13	14	Additive preemptive possibilistic programming in assemble-to-order production planning	สุดาธร  ศรีสอาด และ บุษบา  พฤกษาพันธุ์รัตน์	International conference on applied operational research ครั้งที่ 4	25-27 กรกฎาคม 2555			1		['Additive', ' ', 'preemptive', ' ', 'possibilistic', ' ', 'programming', ' ', 'in', ' ', 'assemble', '-', 'to', '-', 'order', ' ', 'production', ' ', 'planning']	2555.0
14	14	14	15	An integrated Steepest Descent and modified simplex Algorithm to Determine the Proper Levels of Bees Parameters on Dynamic Multi-Zone Dispatching Problems,	รศ.ดร.พงศ์ชนัน  เหลืองไพบูลย์	วารสาร IAENG Transactions on Engineering Technologies, Vol. 7, pp. 48-61	พ.ศ.2555			1		['An', ' ', 'integrated', ' ', 'Steepest', ' ', 'Descent', ' ', 'and', ' ', 'modified', ' ', 'simplex', ' ', 'Algorithm', ' ', 'to', ' ', 'Determine', ' ', 'the', ' ', 'Proper', ' ', 'Levels', ' ', 'of', ' ', 'Bees', ' ', 'Parameters', ' ', 'on', ' ', 'Dynamic', ' ', 'Multi', '-', 'Zone Dispatching', ' ', 'Problems', ',']	2555.0
15	15	15	16	Applying Bee Colony Optimization Heuristic for Mak-Pack Problem in Process Manufacturing	วุฒิชัย  วงษ์ทัศนีย์กร , .บุษบา  พฤกษาพันธุ์รัตน์ และ รัฐพล  สังขสุข	การประชุมวิชาการ Proceedings of the International MultiConference of Engineerings and Computer Scientists 2012 VolII, IMECS 2012, Hongkong	14-16 มีนาคม 2555			1		['Applying', ' ', 'Bee', ' ', 'Colony ', 'Optimization', ' ', 'Heuristic', ' ', 'for', ' ', 'Mak', '-', 'Pack', ' ', 'Problem', ' ', 'in', ' ', 'Process', ' ', 'Manufacturing']	2555.0
16	16	16	17	Bee algorithm for soiving yield optimization problem for hard disk drive component under budget and supplier's rating constraints and hueristic performance comparison	Wuthichai Wongthatsanekorn and Nuntana Matheekrieangkrai	Lecture Notes in Electrical Engineering 103 LNEE, pp. 203-216 	 ปี 2555			1		"['Bee', ' ', 'algorithm', ' ', 'for', ' ', 'soiving', ' ', 'yield', ' ', 'optimization', ' ', 'problem', ' ', 'for', ' ', 'hard', ' ', 'disk', ' ', 'drive', ' ', 'component', ' ', 'under', ' ', 'budget', ' ', 'and', ' ', 'supplier', ""'"", 's', ' ', 'rating', ' ', 'constraints', ' ', 'and', ' ', 'hueristic', ' ', 'performance', ' ', 'comparison']"	2555.0
17	17	17	18	Effect of Heat Input on Microstrucure and Hardness of SKD 61 Hot Work tool Steel using Gas Metal Arc Welding	Teerayut Kanchanasangtong and Supachai Surapunt	Advanced Materials Research Vols. 557-559(2012) pp 1275-1280	พ.ศ.2555			1		['Effect', ' ', 'of', ' ', 'Heat', ' ', 'Input', ' ', 'on', ' ', 'Microstrucure', ' ', 'and', ' ', 'Hardness', ' ', 'of', ' ', 'SKD', ' ', '61', ' ', 'Hot', ' ', 'Work', ' ', 'tool', ' ', 'Steel', ' ', 'using', ' ', 'Gas', ' ', 'Metal', ' ', 'Arc', ' ', 'Welding']	2555.0
18	18	18	19	Fatigue Crack Growth Behavior of Friction Stir Welding of 6063-T5 Aluminum Alloys	Supachai Surapunt  	Advanced Materials Research Vols. 146-147(2012) pp 1498-1501	พ.ศ.2555			1		['Fatigue', ' ', 'Crack', ' ', 'Growth', ' ', 'Behavior', ' ', 'of', ' ', 'Friction', ' ', 'Stir', ' ', 'Welding', ' ', 'of', ' ', '6063', '-', 'T5', ' ', 'Aluminum Alloys']	2555.0
19	19	19	20	Feasibility Study for Slit Machining using EDM on Silicon Nitride	Apiwat Muttamara, Yasushi Fukuzawa  and Kongsin Aursatitwong	"การประชุมวิชาการ""2 nd International Conference on Mechanical Production and Automobile Engineering (ICMPAE2012) Singapore 2012,244-247 "	 28-29 เมษายน 2555			1		['Feasibility', ' ', 'Study', ' ', 'for', ' ', 'Slit', ' ', 'Machining', ' ', 'using', ' ', 'EDM', ' ', 'on Silicon', ' ', 'Nitride']	2555.0
20	20	20	21	Flexible Printed Circuit Process Improvement via Interchangeable Linear Constrained Response Suface Optimisation Models	พิชญ์พิมน  กาญจนสุทธิแสง และ พงศ์ชนัน  เหลืองไพบูลย์	Silpakorn U Science & Tech J, Vol. 5, No. 2, pp. 9-18. DOI:10.3844/jcssp.2011.836.843	 พ.ศ. 2555			1		['Flexible', ' ', 'Printed', ' ', 'Circuit', ' ', 'Process', ' ', 'Improvement', ' ', 'via Interchangeable', ' ', 'Linear', ' ', 'Constrained', ' ', 'Response', ' ', 'Suface', ' ', 'Optimisation', ' ', 'Models']	2555.0
21	21	21	22	Fuzzy facility-allocation for biomass transformation plant of the central region of Thailand	พรชัย  หงส์วัฒนกุล และ บุษบา  พฤกษาพันธุ์รัตน์	International conference on applied operational research ครั้งที่ 4	25-27 กรกฎาคม 2555			1		['Fuzzy', ' ', 'facility', '-', 'allocation', ' ', 'for', ' ', 'biomass', ' ', 'transformation', ' ', 'plant', ' ', 'of', ' ', 'the', ' ', 'central', ' ', 'region', ' ', 'of', ' ', 'Thailand']	2555.0
