Unnamed: 0	id	title	author	department	year	pages	FORREVIEW	tokenized_title
0	1	กลวิธีในการใช้ภาษาอังกฤษเพื่อการขายสินค้าของผู้ค้าแบบแผงลอยชาวไทยย่านถนนข้าวสารกรุงเทพมหานคร 	สุปัญญา ชมจินดา 	คณะศิลปศาสตร์ 	2538	124	0	['กลวิธี', 'ใน', 'การ', 'ใช้', 'ภาษา', 'อังกฤษ', 'เพื่อ', 'การ', 'ขาย', 'สินค้า', 'ของ', 'ผู้', 'ค้า', 'แบบ', 'แผง', 'ลอย', 'ชาว', 'ไทย', 'ย่าน', 'ถนน', 'ข้าวสาร', 'กรุงเทพมหานคร', ' ']
1	2	การศึกษาคำที่ใช้ในภาษาโฆษณา 	อุมาภรณ์ สังขมาน 	คณะศิลปศาสตร์ 	2538	116	0	['การ', 'ศึกษา', 'คำ', 'ที่', 'ใช้', 'ใน', 'ภาษา', 'โฆษณา', ' ']
2	3	การศึกษาเปรียบเทียบตัวประมาณค่าพารามิเตอร์แสดงตำแหน่ง และสากลจากประชากรที่มีการแจกแจงแบบปกติปลอมปน 	กมล จันตะโก 	ภาควิชาคณิตศาสตร์และสถิติ สาขาสถิติประยุกต์ คณะวิทยาศาสตร์และเทคโนโลยี 	2538	58	0	['การ', 'ศึกษา', 'เปรียบเทียบ', 'ตัว', 'ประมาณ', 'ค่า', 'พารามิเตอร์', 'แสดง', 'ตำแหน่ง', ' ', 'และ', 'สากล', 'จาก', 'ประชากร', 'ที่', 'มี', 'การ', 'แจกแจง', 'แบบ', 'ปกติ', 'ปลอม', 'ปน', ' ']
3	4	ศึกษาปัญหาและอุปสรรคของการจำแนกลักษณะผู้ต้องขังในเรือนจำ และทัณฑสถาน 	ประทีป ดวงพัตรา 	คณะสังคมสงเคราะห์ศาสตร์ 	2538	267	0	['ศึกษา', 'ปัญหา', 'และ', 'อุปสรรค', 'ของ', 'การ', 'จำแนก', 'ลักษณะ', 'ผู้', 'ต้อง', 'ขัง', 'ใน', 'เรือนจำ', ' ', 'และ', 'ทัณฑสถาน', ' ']
4	5	การเปรียบเทียบการใช้ระบบการสืบค้นรายการแบบออนไลน์ก่อนและหลังเข้ารับการฝึกอบรมวิธีการใช้ของผู้ใช้ในหอสมุดแห่งชาติ ท่าวาสุกรี 	จรูญลักษณ์ ศิรินรรัตน์ 	สาขาวิชาบรรณารักษ์ศาสตร์และสารนิเทศศาสตร์ คณะศิลปศาสตร์ 	2538	169	0	['การ', 'เปรียบเทียบ', 'การ', 'ใช้', 'ระบบ', 'การ', 'สืบค้น', 'รายการ', 'แบบ', 'ออนไลน์', 'ก่อน', 'และ', 'หลัง', 'เข้า', 'รับ', 'การ', 'ฝึกอบรม', 'วิธี', 'การ', 'ใช้', 'ของ', 'ผู้', 'ใช้', 'ใน', 'หอสมุดแห่งชาติ', ' ', 'ท่าวาสุกรี', ' ']
5	6	ความสัมพันธ์ระหว่างความตื่นตัวทางการเมืองกับพฤติกรรม การเปิดรับและการใช้สื่อมวลชนเพื่อสนองความพึงพอใจของประชาชน จังหวัดมุกดาหาร ในช่วงปี 2535-2537 	เสถียร ปรีดาสา 	คณะวารสารศาสตร์และสื่อสารมวลชน 	2538	143	0	['ความ', 'สัมพันธ์', 'ระหว่าง', 'ความ', 'ตื่นตัว', 'ทาง', 'การ', 'เมือง', 'กับ', 'พฤติกรรม', ' ', 'การ', 'เปิด', 'รับ', 'และ', 'การ', 'ใช้', 'สื่อ', 'มวล', 'ชน', 'เพื่อ', 'สนอง', 'ความ', 'พึงพอใจ', 'ของ', 'ประชาชน', ' ', 'จังหวัดมุกดาหาร', ' ', 'ใน', 'ช่วง', 'ปี', ' ', '2535', '-', '2537', ' ']
6	7	บทบาทของศุลกากรในการสร้างความเจริญทางเศรษฐกิจของประเทศไทย	ดิเรก มาลากร 	คณะเศรษฐศาสตร์ 	2510	525	0	['บทบาท', 'ของ', 'ศุลกากร', 'ใน', 'การ', 'สร้าง', 'ความ', 'เจริญ', 'ทาง', 'เศรษฐกิจ', 'ของ', 'ประเทศไทย']
7	8	Hungary and the European communities 	Hamori  J 	Hungarian Scientific Council for World Economy	2530	90	0	['Hungary', ' ', 'and', ' ', 'the', ' ', 'European', ' ', 'communities', ' ']
8	9	ปัจจัยที่มีผลต่อพฤติกรรมการเปิดรับสื่อโทรทัศน์รายการเกี่ยวกับสุขภาพอนามัยแม่และเด็กเพื่อการใช้ประโยชน์ และตอบสนองความต้องการด้านข่าวสารของสตรีมีครรภ์ที่มารับบริการที่โรงพยาบาลราชวิถี 	เพียรพร ว่องวิทวัส 	คณะวารสารศาสตร์และสื่อสารมวลชน 	2538	170	0	['ปัจจัย', 'ที่', 'มี', 'ผล', 'ต่อ', 'พฤติกรรม', 'การ', 'เปิด', 'รับ', 'สื่อ', 'โทรทัศน์', 'รายการ', 'เกี่ยว', 'กับ', 'สุขภาพ', 'อนามัย', 'แม่', 'และ', 'เด็ก', 'เพื่อ', 'การ', 'ใช้', 'ประโยชน์', ' ', 'และ', 'ตอบสนอง', 'ความ', 'ต้องการ', 'ด้าน', 'ข่าวสาร', 'ของ', 'สตรี', 'มี', 'ครรภ์', 'ที่', 'มา', 'รับ', 'บริการ', 'ที่', 'โรงพยาบาลราชวิถี', ' ']
9	10	The demand for money in Thailand and its implication for economic growth.	Suthida Raktabutr 	Faculty_of_Economics	2531	133	0	['The', ' ', 'demand', ' ', 'for', ' ', 'money', ' ', 'in', ' ', 'Thailand', ' ', 'and', ' ', 'its', ' ', 'implication', ' ', 'for', ' ', 'economic', ' ', 'growth.']
