	Unnamed: 0	id	name	year	researchers	department	research_area	research_type	tokenized_title
0	0	1	การสังเคราะห์งานวิจัยทางภูมิศาสตร์เพื่อการวางแผนพัฒนางานวิจัย	2551	อ. ทรงชัย  ทองปาน	คณะศิลปศาสตร์			['การ', 'สังเคราะห์', 'งาน', 'วิจัย', 'ทาง', 'ภูมิศาสตร์', 'เพื่อ', 'การ', 'วาง', 'แผน', 'พัฒนา', 'งานวิจัย']
1	1	2	การศึกษาประวัติคณะศิลปศาสตร์ มหาวิทยาลัยธรรมศาสตร์	2551	นายวีระศักดิ์  กีรติวรนันท์	คณะศิลปศาสตร์			['การ', 'ศึกษา', 'ประวัติ', 'คณะศิลปศาสตร์', ' ', 'มหาวิทยาลัยธรรมศาสตร์']
2	2	3	การวางแผนการจัดการจราจรสำหรับชุมชนด้วยกลยุทธการสยบการจราจร : กรณีศึกษา  มหาวิทยาลัยธรรมศาสตร์  ศูนย์รังสิต	2551	รศ. ดร.บุญทรัพย์   วิชญางกูร 	คณะวิศวกรรมศาสตร์			['การ', 'วาง', 'แผน', 'การ', 'จัดการ', 'จราจร', 'สำหรับ', 'ชุมชน', 'ด้วย', 'กลยุทธการ', 'สยบ', 'การ', 'จราจร', ' ', ':', ' ', 'กรณี', 'ศึกษา', ' ', ' ', 'มหาวิทยาลัยธรรมศาสตร์', '  ศูนย์รังสิต']
3	3	4	คุณภาพชีวิตในการทำงานกับประสิทธิภาพในการปฏิบัติงานของบุคลากรสายสนับสนุนวิชาการ ภายในคณะแพทยศาสตร์ มหาวิทยาลัยธรรมศาสตร์	2551	นางชุตินันท์  กลิ่นจันทร์หอม	คณะแพทยศาสตร์			['คุณภาพ', 'ชีวิต', 'ใน', 'การ', 'ทำ', 'งาน', 'กับ', 'ประสิทธิภาพ', 'ใน', 'การ', 'ปฏิบัติ', 'งาน', 'ของ', 'บุคลากร', 'สาย', 'สนับสนุน', 'วิชาการ', ' ', 'ภาย', 'ใน', 'คณะแพทยศาสตร์', ' ', 'มหาวิทยาลัยธรรมศาสตร์']
4	4	5	การศึกษาผลของการจัดการเรียนการสอนทางกายภาพบำบัดต่อการนำไปใช้ในสังคม(ช่วงปี 2545-2550)	2551	รศ. พิมพ์อำไพ  เวนเซล	คณะสหเวชศาสตร์			['การ', 'ศึกษา', 'ผล', 'ของ', 'การ', 'จัด', 'การเรียนการสอน', 'ทาง', 'กายภาพ', 'บำบัด', 'ต่อ', 'การ', 'นำ', 'ไป', 'ใช้', 'ใน', 'สังคม', '(', 'ช่วง', 'ปี', ' ', '2545', '-', '2550', ')']
5	5	6	แรงจูงใจปัจจัยเกื้อหนุนปัญหาและอุปสรรคในการทำวิจัยของอาจารย์ มหาวิทยาลัยธรรมศาสตร์	2551	นางสาวพัชรา  บุญมานำ	คณะศิลปกรรมศาสตร์			['แรง', 'จูงใจ', 'ปัจจัย', 'เกื้อหนุน', 'ปัญหา', 'และ', 'อุปสรรค', 'ใน', 'การ', 'ทำ', 'วิจัย', 'ของ', 'อาจารย์', ' ', 'มหาวิทยาลัยธรรมศาสตร์']
6	6	7	โครงการการบริหารจัดการทางการศึกษาเพื่อหวังผลของคณะสถาปัตยกรรมศาสตร์และการผังเมือง มหาวิทยาลัยธรรมศาสตร์	2551	ผศ. ดร.พรพรรณ  วีระปรียากูร	คณะสถาปัตยกรรมศาสตร์และการผังเมือง			['โครงการ', 'การ', 'บริหารจัดการ', 'ทาง', 'การ', 'ศึกษา', 'เพื่อ', 'หวัง', 'ผล', 'ของ', 'คณะ', 'สถาปัตยกรรมศาสตร์', 'และ', 'การ', 'ผังเมือง', ' ', 'มหาวิทยาลัยธรรมศาสตร์']
7	7	8	การวิเคราะห์ปัจจัยที่มีผลต่อผลสัมฤทธิ์ทางการเรียนภาษาอังกฤษพื้นฐานของนักศึกษา มหาวิทยาลัยธรรมศาสตร์ ศูนย์ลำปาง ระบบรับตรงและระบบแอดมิชชั่น ปีการศึกษา 2548-2550	2551	อ.จงรักษ์  สิทธิรักษ์	สถาบันภาษา			['การ', 'วิเคราะห์', 'ปัจจัย', 'ที่', 'มี', 'ผล', 'ต่อ', 'ผล', 'สัมฤทธิ์', 'ทาง', 'การ', 'เรียน', 'ภาษา', 'อังกฤษ', 'พื้นฐาน', 'ของ', 'นัก', 'ศึกษา', ' ', 'มหาวิทยาลัยธรรมศาสตร์', ' ', 'ศูนย์ลำปาง', ' ', 'ระบบ', 'รับ', 'ตรง', 'และ', 'ระบบ', 'แอดมิชชั่น', ' ', 'ปี', 'การ', 'ศึกษา', ' ', '2548', '-', '2550']
8	8	9	ประสิทธิภาพการใช้อาคารปิยะชาติ มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต	2551	นางพรทิพย์  อารักษ์วรกุล	กองแผนงาน			['ประสิทธิภาพ', 'การ', 'ใช้', 'อาคารปิยะชาติ', ' ', 'มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต']
9	9	10	การศึกษาระบบการบริหารจัดการโครงการนักศึกษาเรียนดีจากชนบทและเขตเมือง มหาวิทยาลัยธรรมศาสตร์	2551	นายอัศนีวุธ  บุญโญ	กองกิจการนักศึกษา			['การ', 'ศึกษา', 'ระบบ', 'การ', 'บริหารจัดการ', 'โครงการ', 'นัก', 'ศึกษา', 'เรียน', 'ดี', 'จาก', 'ชนบท', 'และ', 'เขต', 'เมือง', ' ', 'มหาวิทยาลัยธรรมศาสตร์']
