	Unnamed: 0	id	name	year	start_date	end_date	status	title	first_name	last_name	granter	tokenized_title
0	0	1	จัดทำแผนที่ภาษีและทะเบียนทรัพย์สิน องค์การบริหารส่วนตำบลลานกระบือ	2550	1/11/2007	4/10/2007	ปิดโครงการ	อาจารย์	เกษมชาต	ศรีวาลัย	อบต.ลานกระบือ	['จัดทำ', 'แผนที่', 'ภาษี', 'และ', 'ทะเบียน', 'ทรัพย์สิน', ' ', 'องค์การบริหารส่วนตำบลลานกระบือ']
1	1	2	จัดทำแผนที่ภาษีและทะเบียนทรัพย์สินเทศบาลตำบลลานกระบือ ระยะที่ 2	2550	11/24/2006	1/22/2007	ปิดโครงการ	อาจารย์	เกษมชาต	ศรีวาลัย	สำนักงานเทศบาลตำบลลานกระบือ	['จัดทำ', 'แผนที่', 'ภาษี', 'และ', 'ทะเบียน', 'ทรัพย์สิน', 'เทศบาลตำบลลาน', 'กระบือ', ' ', 'ระยะ', 'ที่', ' ', '2']
2	2	3	ศึกษาความเป็นไปได้ทางการตลาดและความต้องการนำไปประยุกต์ใช้งานต้นแบบผลงานวิจัยและพัฒนา ระบบเครือข่ายเซ็นเซอร์ไร้สายสำหรับการตรวจนับรถยนต์	2550	7/1/2007	11/30/2007	ปิดโครงการ	รองศาสตราจารย์ ดร.	เพ็ญแข	ศิริวรรณ	ศูนย์เทคโนโลยีอิเล็กทรอนิกส์และคอมพิวเตอร์แห่งชาติ	['ศึกษา', 'ความ', 'เป็น', 'ไป', 'ได้', 'ทาง', 'การ', 'ตลาด', 'และ', 'ความ', 'ต้องการ', 'นำ', 'ไป', 'ประยุกต์', 'ใช้', 'งาน', 'ต้น', 'แบบ', 'ผล', 'งาน', 'วิจัยและพัฒนา', ' ', 'ระบบ', 'เครือข่ายเซ็นเซอร์', 'ไร้', 'สาย', 'สำหรับ', 'การ', 'ตรวจ', 'นับ', 'รถ', 'ยนต์']
3	3	4	ประเมินผลการปฎิบัติงานของสำนักงาน กทช. จากบุคคลภายนอก	2550	4/2/2007	5/16/2007	ปิดโครงการ	รองศาสตราจารย์ ดร.	เพ็ญแข	ศิริวรรณ	คณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์ และกิจการโทรคมนาคมแห่งชาติ	['ประเมิน', 'ผล', 'การ', 'ปฎิบัติ', 'งาน', 'ของ', 'สำนักงาน กทช.', ' ', 'จาก', 'บุคคล', 'ภาย', 'นอก']
4	4	5	สำรวจพฤติกรรมและความต้องการใช้ทางหลวงพิเศษของผู้ใช้บริการทางหลวงพิเศษหมายเลข 7 และ 9	2550	3/2/2007	8/29/2007	ปิดโครงการ	รองศาสตราจารย์ ดร.	เพ็ญแข	ศิริวรรณ	สำนักงานทางหลวงพิเศษระหว่างเมือง	['สำรวจ', 'พฤติกรรม', 'และ', 'ความ', 'ต้องการ', 'ใช้', 'ทาง', 'หลวง', 'พิเศษ', 'ของ', 'ผู้', 'ใช้', 'บริการ', 'ทาง', 'หลวงพิเศษ', 'หมายเลข', ' ', '7', ' ', 'และ', ' ', '9']
5	5	6	ศึกษาพัฒนาการของหลักกฎหมายเลือกตั้งของประเทศไทยและต่างประเทศ	2550	9/27/2007	7/27/2008	ปิดโครงการ	ผู้ช่วยศาสตราจารย์ ดร.	เอกบุญ	วงศ์สวัสดิ์กุล	สำนักงานคณะกรรมการการเลือกตั้ง	['ศึกษา', 'พัฒนาการ', 'ของ', 'หลัก', 'กฎหมาย', 'เลือกตั้ง', 'ของ', 'ประเทศไทย', 'และ', 'ต่าง', 'ประเทศ']
6	6	7	ปรับปรุงกฎระเบียบที่เกี่ยวข้องในการดำเนินงาน ของสำนักงานพัฒนาเทคโนโลยีอวกาศและภูมิสารสนเทศ (องค์การมหาชน)	2550	1/15/2007	7/13/2007	ปิดโครงการ	ผู้ช่วยศาสตราจารย์ ดร.	เอกบุญ	วงศ์สวัสดิ์กุล	สำนักงานพัฒนาเทคโนโลยีอวกาศและภูมิสารสนเทศ (องค์การมหาชน) (GISTDA)	['ปรับปรุง', 'กฎระเบียบ', 'ที่', 'เกี่ยวข้อง', 'ใน', 'การ', 'ดำเนิน', 'งาน', ' ', 'ของ', 'สำนักงานพัฒนาเทคโนโลยี', 'อวกาศ', 'และ', 'ภูมิสารสนเทศ', ' ', '(', 'องค์การมหาชน', ')']
7	7	8	EBS Global Study Tour	2550	7/15/2007	7/18/2007	ปิดโครงการ	รองศาสตราจารย์ ดร.	แก้วตา	โรหิตรัตนะ	European Businessw School (EBS)	['EBS', ' ', 'Global', ' ', 'Study', ' ', 'Tour']
8	8	9	BLKL Lapping Lubricant Characterization	2550	5/30/2007	10/1/2007	ปิดโครงการ	ผู้ช่วยศาสตราจารย์ ดร.	แคทลียา	ปัทมพรหม	บริษัท เวสเทิร์น ดิจิตอล (ประเทศไทย) จำกัด	['BLKL', ' Lapping', ' ', 'Lubricant ', 'Characterization']
9	9	10	ศึกษาพันธกรณีและความพร้อมของประเทศไทยในการปฏิบัติตามอนุสัญญาสหประชาชาติว่าด้วยการต่อต้านการทุจริต ค.ศ.2003	2550	9/19/2007	9/19/2008	ปิดโครงการ	ศาสตราจารย์	แสวง	บุญเฉลิมวิภาส	สำนักงานคณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ	['ศึกษา', 'พันธกรณี', 'และ', 'ความ', 'พร้อม', 'ของ', 'ประเทศไทย', 'ใน', 'การ', 'ปฏิบัติ', 'ตาม', 'อนุสัญญา', 'สหประชาชาติ', 'ว่า', 'ด้วย', 'การ', 'ต่อต้าน', 'การ', 'ทุจริต', ' ', 'ค.ศ.', '2003']
