author,abstract,title,cited,year,location,linkpdf
Somnuk Tangtermsirikul,"Abstract Carbonation of fly ash concrete is studied by using two types of fly ash with different CaO contents. It is observed that under natural exposure environments, the carbonation rate is the highest when specimens are exposed in the city. The decreased ratio of water to ",A study on carbonation depth prediction for fly ash concrete,208,2006,,
Somnuk Tangtermsirikul,Abstract An investigation on using municipal solid waste incinerator bottom ash (MSWI) and calcium carbide waste (CCW) as a part of the cement raw materials was performed. Cement raw meals were replaced by 5% and 10% of MSWI and CCW to study properties of the ,Properties of cement made by partially replacing cement raw materials with municipal solid waste ashes and calcium carbide waste,64,2004,,
Somnuk Tangtermsirikul,"ABSTRACT: This article presents the test results of fresh and hardened properties of self-compacting concrete (SCC) incorporating bottom ash as partial replacement of normal sand at 0%, 10%, 20% and 30% by weight. Mix proportion of the investigated powder-typed SCC ",Properties of self-compacting concrete in corporating bottom ash as a partial replacement of fine aggregate,45,2008,../papers2/CET/Somnuk Tangtermsirikul/v34_087_095.pdf,http://scienceasia.org/2008.34.n1/v34_087_095.pdf
Somnuk Tangtermsirikul,"Abstract Water retainability of a porous aggregate is defined, including absorption as well as adsorption. This moisture property is important for mix proportion and quality control of fresh concrete. An alternative test method to determine water retainability of porous fine ",A method to determine water retainability of porous fine aggregate for design and quality control of fresh concrete,36,2007,,
Somnuk Tangtermsirikul,Abstract A comprehensive numerical system is proposed for the attempt to solve the problem of the deterioration of reinforced concrete structures subjected to chloride-induced corrosion. This numerical system was created by combining the physicochemical models related to the ,"Numerical modeling of steel corrosion in concrete structures due to chloride ion, oxygen and water movement",35,2003,../papers2/CET/Somnuk Tangtermsirikul/_pdf,https://www.jstage.jst.go.jp/article/jact/1/2/1_2_147/_pdf
Somnuk Tangtermsirikul,"Abstract This paper presents the test results on cracking behavior at medium age of uniaxially restrained specimens containing different types of mineral admixture, namely fly ash and limestone powder. In this study, the uniaxially restrained shrinkage, free shrinkage ",Effect of mineral admixtures and curing periods on shrinkage and cracking age under restrained condition,32,2009,,
Somnuk Tangtermsirikul,"The aim of this paper is to develop a model for simulating carbonation of fly ash concrete. The model describes the diffusion of gases (CO 2 and water vapor) in concrete by the mass balance equations and the Fick's law of diffusion. The time dependent hydration, and ",Model for simulating carbonation of fly ash concrete,30,2005,,
Somnuk Tangtermsirikul,Abstract A model for predicting time-dependent chloride binding capacity of cement-fly ash cementitious systems was proposed. The proposed model took into account both chemical binding and physical binding. Chemical binding was considered to depend on the amount of ,A model for predicting time-dependent chloride binding capacity of cement-fly ash cementitious system,30,2004,../papers2/CET/Somnuk Tangtermsirikul/A-model-for-predicting-time-dependent-chloride-binding-capacity-of-cement-fly-ash-cementitious-system.pdf,https://www.researchgate.net/profile/Taweechai_Sumranwanich/publication/225870534_A_model_for_predicting_time-dependent_chloride_binding_capacity_of_cement-fly_ash_cementitious_system/links/548a6a850cf2d1800d7aab46/A-model-for-predicting-time-dependent-chloride-binding-capacity-of-cement-fly-ash-cementitious-system.pdf
Somnuk Tangtermsirikul,"Roller-compacted concrete (RCC) is typically used in the construction of dams and road pavements since it provides substantial benefits over conventional concrete for the construction of such structures such as faster construction, lower costs of construction and ",A compressive strength model for roller-compacted concrete with fly ash,16,2004,,
Somnuk Tangtermsirikul,"The aim of the current study is to propose a model for predicting deformability of powder-type self-compacting concrete (SCC) based on theoretical and empirical approaches. Deformability, one of the essential functions for SCC's filling ability, was defined and ","Effect of aggregate type, casting, thickness and curing condition on restrained strain of mass concrete.",15,2010,../papers2/CET/Somnuk Tangtermsirikul/10610597.pdf,http://www.thaiscience.info/journals/Article/SONG/10610597.pdf
Somnuk Tangtermsirikul,"Abstract This study emphasizes the limitation of free lime content in fly ash. A detailed experimental program was carried out in order to evaluate the extent to which free lime content in fly ash can be tolerated, particularly for fly ashes with different sulfur trioxide ",Deformability prediction model for self-compacting concrete,16,2008,,
Somnuk Tangtermsirikul,ABSTRACT: This study is aimed at investigating the specific heat of fly-ash concrete. The experiments were conducted to obtain the specific heat of fly-ash cement pastes and mortars. Mortars were prepared by varying the sand type and content. It was found that the ,Effect and limitation of free lime content in cement-fly ash mixtures,15,2016,,
Somnuk Tangtermsirikul,"Abstract This study was aimed to indicate the inadequacies of the presently used methods for testing sulfate resistance of cementitious systems, especially when tested in magnesium sulfate solution, and propose proper laboratory tests for evaluating the sulfate resistance of ",A model for predicting the specific heat capacity of fly-ash concrete,14,2009,../papers2/CET/Somnuk Tangtermsirikul/Somnuk Tangtermsirikul_E7367F.pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.586.6445&rep=rep1&type=pdf
Somnuk Tangtermsirikul,"Abstract This study is aimed at finding an equation for estimating compressive strength of concrete containing fly ash. The concept of using chemical composition of the constituent materials as one of the main parameters for various types of fly ash is proposed. Initially, 28-",Durability and testing of mortar with interground fly ash and limestone cements in sulfate solutions,13,2014,,
Somnuk Tangtermsirikul,"Abstract: During recent years, fly ash concrete has become popular in the concrete industry in Thailand, with its expected consumption in the year 2001 exceeding 1.2 million tons from the total annual production of about 3 million tons. Recently, a huge roller-compacted ",Compressive strength prediction model for fly ash concrete,14,2000,../papers2/CET/Somnuk Tangtermsirikul/34610,https://www.tci-thaijo.org/index.php/SciTechAsia/article/download/41919/34610
Somnuk Tangtermsirikul,"ABSTRACT The use of Municipal Solid Waste incinerator bottom ash (MSWI) and Calcium Carbide Waste (CCW) as a part of cement raw material was investigated. The purpose was not only to dispose of the wastes, but also to alleviate some environmental problems, by ",A study on cement made by partially replacing cement raw materials with municipal solid waste ash and calcium carbide waste,12,2003,../papers2/CET/Somnuk Tangtermsirikul/10460077.pdf,http://www.thaiscience.info/Journals/Article/SCAS/10460077.pdf
Somnuk Tangtermsirikul,"ABSTRACT: The coefficient of thermal expansion (CTE) of cementitious paste at various ages was studied. Pastes were prepared with various water to binder and fly ash to binder ratios. The CTE of paste increased with age, and decreased with fly ash content, particularly ",A model for predicting coefficient of thermal expansion of cementitious Paste,12,2009,../papers2/CET/Somnuk Tangtermsirikul/Somnuk Tangtermsirikul_E2C954.pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.588.7290&rep=rep1&type=pdf
